 JDAY =    49.1378851548548     
QIN(JB):,.530000,.000000,.000000,.000000,
QTR:,.000000,.000000,.000000,
QDT(JB):,.000000,.000000,.000000,.000000,
QWD:,
QSUM(JB):,.000000,.000000,.000000,.000000,
QGT:,
QPI:,
QPU:,
QSP:,

SEG,BRANCH,ACTIVE,KT,WSE,SZ,Z,Q,QC,QERR,H2KT,H1KT,BHR1,BHR2,T1,T2,SUKT,UKT,AVHR,SELWS
118,1,A,10,.007492,-.107462,-.107492,.954195,.954214,-.001956,.207462,.207492,9.544181,9.542480,17.586822,17.586822,.077355,.077129,.207597,.007462
119,1,A,10,.007701,-.107663,-.107701,.922867,.926027,-.342381,.207663,.207701,8.512939,8.511186,17.588621,17.588621,.085484,.085244,.207781,.007663
120,1,A,10,.007860,-.107816,-.107860,.901627,.901623,.000505,.207816,.207860,6.564717,6.563211,17.590354,17.590354,.096134,.095814,.207842,.007816
121,1,A,10,.007825,-.107776,-.107825,.880855,.880836,.002121,.207776,.207825,6.047385,6.045911,17.591732,17.591732,.105112,.104727,.207677,.007776
122,1,A,10,.007530,-.107482,-.107530,.857376,.857385,-.001101,.207482,.207530,5.330390,5.329227,17.593259,17.593259,.125111,.124659,.207469,.007482
123,1,A,10,.007407,-.107375,-.107407,.843797,.845950,-.255216,.207375,.207407,5.530211,5.529615,17.594275,17.594275,.132536,.132336,.206494,.007375
124,1,A,10,.005581,-.105570,-.105581,.839554,.839517,.004425,.205570,.205581,7.571300,7.571275,17.595347,17.595347,.091996,.092087,.205290,.005570
125,1,A,10,.004999,-.105007,-.104999,.845236,.845198,.004417,.205007,.204999,9.281203,9.281659,17.596749,17.596749,.067449,.067616,.204815,.005007
126,1,A,10,.004630,-.104640,-.104630,.853250,.853196,.006365,.204640,.204630,10.626232,10.626630,17.598592,17.598592,.058579,.058789,.204403,.004640
127,1,A,10,.004175,-.104179,-.104175,.857208,.857150,.006751,.204179,.204175,10.806403,10.806503,17.600609,17.600609,.056638,.056867,.203936,.004179
128,1,A,10,.003697,-.103696,-.103697,.856268,.856208,.007086,.203696,.203697,9.745589,9.745429,17.602625,17.602625,.061968,.062229,.203395,.003696
129,1,A,10,.003093,-.103088,-.103093,.852411,.852367,.005164,.203088,.203093,8.686827,8.686443,17.604405,17.604405,.071832,.072103,.202698,.003088
130,1,A,10,.002302,-.102293,-.102302,.844739,.844704,.004206,.202293,.202302,8.155969,8.155376,17.606005,17.606005,.077725,.077989,.201901,.002293
131,1,A,10,.001499,-.101484,-.101499,.834631,.834605,.003090,.201484,.201499,7.736451,7.735654,17.607477,17.607477,.081514,.081706,.201156,.001484
132,1,A,10,.000812,-.100791,-.100812,.820808,.820791,.002172,.200791,.200812,7.275272,7.274319,17.608911,17.608911,.085416,.085516,.200509,.000791
