JDAY,DLT(s),ELWS(m),T2(C),U(ms-1),Q(m3s-1),SRON(Wm-2),EXT(m-1),DEPTH(m),WIDTH(m),SHADE,ICETH(m),Tvolavg(C),NetRad(Wm-2),SWSolar(Wm-2),LWRad(Wm-2),BackRad(Wm-2),EvapF(Wm-2),ConducF(Wm-2),ReaerationCoeff(day-1),            TDS,           Gen1,           Gen2,           Gen3,           ISS1,            PO4,            NH4,            NO3,             DO,     SED(Organic matter in sediments g/m3),    SEDP(OrgP in sediments gP/m3),    SEDN(OrgN in sediments gN/m3),    SEDC(OrgCSediments gC/m3),DODOM   (kg/d),DOREAR  (kg/d),DOSED   (kg/d),DOSOD   (kg/d),PLIM_ALG1           ,NLIM_ALG1           ,LLIM_ALG1           ,
    34.000,   360.000,     3.877,     8.966,    -0.004,     0.099,     0.000,     0.750,     4.791,    58.400,     1.000,     0.000,     8.938,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.583,     0.421E-03,          0.00,         0.812,     0.174E+04,     0.298E-05,          50.0,          93.9,         0.306,          6.88,     0.000,     0.000,     0.000,     0.000,     0.000E+00,     0.387E+02,     0.000E+00,     0.000E+00,         1.000,         1.000,         1.000,
    34.201,   360.000,     3.807,     8.918,     0.020,     3.054,     0.000,     0.750,     4.721,    58.400,     1.000,     0.000,     8.914,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.637,         0.433,          0.00,          1.28,     0.115E+04,     0.441E-02,          50.0,          90.7,         0.320,          6.18,     0.000,     0.000,     0.000,     0.000,     0.000E+00,     0.445E+02,     0.000E+00,     0.000E+00,         1.000,         1.000,         1.000,
    34.400,   360.000,     3.886,     8.972,     0.005,     1.652,     0.000,     0.750,     4.800,    58.400,     1.000,     0.000,     8.971,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.577,         0.107,          0.00,         0.273,     0.279E+04,     0.956E-03,          50.0,          98.0,         0.305,          5.41,     0.000,     0.000,     0.000,     0.000,     0.000E+00,     0.509E+02,     0.000E+00,     0.000E+00,         1.000,         1.000,         1.000,
    34.602,   360.000,     3.816,     8.966,     0.016,     2.591,     0.000,     0.750,     4.730,    58.400,     1.000,     0.000,     8.964,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.632,         0.542,          0.00,         0.902,     0.179E+04,     0.444E-02,          50.0,          93.4,         0.319,          6.21,     0.000,     0.000,     0.000,     0.000,     0.000E+00,     0.443E+02,     0.000E+00,     0.000E+00,         1.000,         1.000,         1.000,
    34.800,   360.000,     3.773,     9.009,    -0.015,    -2.944,     0.000,     0.750,     4.687,    58.400,     1.000,     0.000,     8.997,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.673,          2.97,          0.00,          1.43,     0.130E+04,     0.209E-01,          50.0,          89.3,         0.381,          6.97,     0.000,     0.000,     0.000,     0.000,     0.000E+00,     0.377E+02,     0.000E+00,     0.000E+00,         1.000,         1.000,         1.000,
    35.000,   360.000,     3.670,     9.533,     0.047,     6.622,     0.000,     0.751,     4.584,    58.400,     1.000,     0.000,     9.341,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.801,          16.0,          0.00,          2.61,          286.,     0.975E-01,          50.0,          78.5,         0.697,          8.88,     0.000,     0.000,     0.000,     0.000,     0.000E+00,     0.213E+02,     0.000E+00,     0.000E+00,         1.000,         1.000,         1.000,
    35.201,   360.000,     3.426,    10.398,     0.097,    14.132,     0.000,     0.752,     4.340,    55.100,     1.000,     0.000,    10.234,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     1.255,          30.4,          0.00,          3.08,          94.3,         0.245,          50.0,          71.1,          1.04,          9.63,     0.000,     0.000,     0.000,     0.000,     0.000E+00,     0.123E+02,     0.000E+00,     0.000E+00,         1.000,         1.000,         1.000,
    35.400,   360.000,     3.426,    10.385,     0.013,     1.954,     0.000,     0.751,     4.340,    55.100,     1.000,     0.000,    10.297,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     1.273,          15.2,          0.00,          1.58,     0.166E+04,     0.802E-01,          50.0,          84.9,         0.673,          7.65,     0.000,     0.000,     0.000,     0.000,     0.000E+00,     0.287E+02,     0.000E+00,     0.000E+00,         1.000,         1.000,         1.000,
    35.602,   360.000,     3.292,    10.792,     0.078,    10.171,     0.000,     0.752,     4.206,    55.100,     1.000,     0.000,    10.582,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.592,          34.9,          0.00,          3.43,          112.,         0.214,          50.0,          66.5,          1.15,          10.1,     0.000,     0.000,     0.000,     0.000,     0.000E+00,     0.836E+01,     0.000E+00,     0.000E+00,         1.000,         1.000,         1.000,
    35.800,   360.000,     3.222,    10.609,    -0.070,   -11.143,     0.000,     0.751,     4.136,    55.100,     1.000,     0.000,    10.508,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.646,          22.3,          0.00,          2.28,     0.130E+04,         0.134,          50.0,          77.9,         0.846,          8.23,     0.000,     0.000,     0.000,     0.000,     0.000E+00,     0.212E+02,     0.000E+00,     0.000E+00,         1.000,         1.000,         1.000,
    36.000,   360.000,     3.219,    10.417,     0.056,     7.721,     0.000,     0.751,     4.133,    55.100,     1.000,     0.000,    10.397,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.645,          12.7,          0.00,          1.53,     0.180E+04,     0.779E-01,          50.0,          85.4,         0.613,          7.08,     0.000,     0.000,     0.000,     0.000,     0.000E+00,     0.334E+02,     0.000E+00,     0.000E+00,         1.000,         1.000,         1.000,
    36.201,   360.000,     3.041,    10.979,     0.131,    16.042,     0.000,     0.752,     3.955,    51.800,     1.000,     0.000,    10.918,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.791,          37.9,          0.00,          4.10,          44.5,         0.214,          50.0,          60.5,          1.23,          10.4,     0.000,     0.000,     0.000,     0.000,     0.000E+00,     0.509E+01,     0.000E+00,     0.000E+00,         1.000,         1.000,         1.000,
    36.400,   360.000,     3.019,    10.395,    -0.018,    -2.109,     0.000,     0.750,     3.933,    51.800,     1.000,     0.000,    10.376,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.823,          7.95,          0.00,         0.904,     0.255E+04,     0.400E-01,          50.0,          91.2,         0.496,          6.23,     0.000,     0.000,     0.000,     0.000,     0.000E+00,     0.372E+02,     0.000E+00,     0.000E+00,         1.000,         1.000,         1.000,
    36.602,   360.000,     2.822,    11.313,     0.147,    16.754,     0.000,     0.752,     3.736,    51.800,     1.000,     0.000,    11.302,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     1.275,          42.0,          0.00,          4.50,          45.2,         0.209,          50.0,          55.9,          1.33,          10.7,     0.000,     0.000,     0.000,     0.000,     0.000E+00,     0.176E+01,     0.000E+00,     0.000E+00,         1.000,         1.000,         1.000,
    36.800,   360.000,     2.643,    11.652,     0.047,     4.622,     0.000,     0.752,     3.557,    51.800,     1.000,     0.000,    11.649,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.652,          46.7,          0.00,          4.78,          3.72,         0.195,          50.0,          52.0,          1.44,          11.2,     0.000,     0.000,     0.000,     0.000,     0.000E+00,    -0.243E+01,     0.000E+00,     0.000E+00,         1.000,         1.000,         1.000,
    37.000,   360.000,     2.618,    11.193,     0.104,    10.820,     0.000,     0.751,     3.532,    51.800,     1.000,     0.000,    11.116,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.667,          31.3,          0.00,          3.35,          975.,         0.114,          50.0,          66.5,          1.07,          9.21,     0.000,     0.000,     0.000,     0.000,     0.000E+00,     0.144E+02,     0.000E+00,     0.000E+00,         1.000,         1.000,         1.000,
    37.201,   360.000,     2.370,    11.827,     0.167,    14.724,     0.000,     0.751,     3.284,    47.000,     1.000,     0.000,    11.822,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.906,          48.8,          0.00,          5.19,          1.82,         0.132,          50.0,          48.3,          1.50,          11.3,     0.000,     0.000,     0.000,     0.000,     0.000E+00,    -0.331E+01,     0.000E+00,     0.000E+00,         1.000,         1.000,         1.000,
    37.400,   360.000,     2.469,    10.238,    -0.169,   -17.365,     0.000,     0.750,     3.383,    51.800,     1.000,     0.000,    10.238,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.844,         0.548,          0.00,     0.803E-01,     0.320E+04,     0.131E-02,          50.0,          99.2,         0.314,          5.10,     0.000,     0.000,     0.000,     0.000,     0.000E+00,     0.475E+02,     0.000E+00,     0.000E+00,         1.000,         1.000,         1.000,
