$,
JDAY,     TDH
-0.674999734,8
-0.670833067,8
-0.6666664,8
-0.662499733,8
-0.658333066,8
-0.654166399,8
-0.649999732,8
-0.645833065,8
-0.641666398,8
-0.637499731,8
-0.633333064,8
-0.629166397,8
-0.62499973,8
-0.620833063,8
-0.616666396,8
-0.612499729,8
-0.608333062,8
-0.604166395,8
-0.599999728,8
-0.595833061,8
-0.591666394,8
-0.587499727,8
-0.58333306,8
-0.579166393,8
-0.574999726,8
-0.570833059,8
-0.566666392,8
-0.562499725,8
-0.558333058,8
-0.554166391,8
-0.549999724,8
-0.545833057,8
-0.54166639,8
-0.537499723,8
-0.533333056,8
-0.529166389,8
-0.524999722,8
-0.520833055,8
-0.516666388,8
-0.512499721,8
-0.508333054,8
-0.504166387,8
-0.49999972,8
-0.495833053,8
-0.491666386,8
-0.487499719,8
-0.483333052,8
-0.479166385,8
-0.474999718,8
-0.470833051,8
-0.466666384,8
-0.462499717,8
-0.45833305,8
-0.454166383,8
-0.449999716,8
-0.445833049,8
-0.441666382,8
-0.437499715,8
-0.433333048,8
-0.429166381,8
-0.424999714,8
-0.420833047,8
-0.41666638,8
-0.412499713,8
-0.408333046,8
-0.404166379,8
-0.399999712,8
-0.395833045,8
-0.391666378,8
-0.387499711,8
-0.383333044,8
-0.379166377,8
-0.37499971,8
-0.370833043,8
-0.366666376,8
-0.362499709,8
-0.358333042,8
-0.354166375,8
-0.349999708,8
-0.345833041,8
-0.341666374,8
-0.337499707,8
-0.33333304,8
-0.329166373,8
-0.324999706,8
-0.320833039,8
-0.316666372,8
-0.312499705,8
-0.308333038,8
-0.304166371,8
-0.299999704,8
-0.295833037,8
-0.29166637,8
-0.287499703,8
-0.283333036,8
-0.279166369,8
-0.274999702,8
-0.270833035,8
-0.266666368,8
-0.262499701,8
-0.258333034,8
-0.254166367,8
-0.2499997,8
-0.245833033,8
-0.241666366,8
-0.237499699,8
-0.233333032,8
-0.229166365,8
-0.224999698,8
-0.220833031,8
-0.216666364,8
-0.212499697,8
-0.20833303,8
-0.204166363,8
-0.199999696,8
-0.195833029,8
-0.191666362,8
-0.187499695,8
-0.183333028,8
-0.179166361,8
-0.174999694,8
-0.170833027,8
-0.16666636,8
-0.162499693,8
-0.158333026,8
-0.154166359,8
-0.149999692,8
-0.145833025,8
-0.141666358,8
-0.137499691,8
-0.133333024,8
-0.129166357,8
-0.12499969,8
-0.120833023,8
-0.116666356,8
-0.112499689,8
-0.108333022,8
-0.104166355,8
-0.099999688,8
-0.095833021,8
-0.091666354,8
-0.087499687,8
-0.08333302,8
-0.079166353,8
-0.074999686,8
-0.070833019,8
-0.066666352,8
-0.062499685,8
-0.058333018,8
-0.054166351,8
-0.049999684,8
-0.045833017,8
-0.04166635,8
-0.037499683,8
-0.033333016,8
-0.029166349,8
-0.024999682,8
-0.020833015,8
-0.016666348,8
-0.012499681,8
-0.008333014,8
-0.004166347,8
3.20E-07,8
0.004166987,8
0.008333654,8
0.012500321,8
0.016666988,8
0.020833655,8
0.025000322,8
0.029166989,8
0.033333656,8
0.037500323,8
0.04166699,8
0.045833657,8
0.050000324,8
0.054166991,8
0.058333658,8
0.062500325,8
0.066666992,8
0.070833659,8
0.075000326,8
0.079166993,8
0.08333366,8
0.087500327,8
0.091666994,8
0.095833661,8
0.100000328,8
0.104166995,8
0.108333662,8
0.112500329,8
0.116666996,8
